client_num,customer_age,gender,dependent_count,education_level,marital_status,state_cd,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income,cust_satisfaction_score
712075083,43,Male,3,Unknown,Married,TX,91750,yes,yes,no,telephone,Govt,79911.00,2.00
712278108,39,Male,2,Graduate,Married,TX,91750,yes,no,no,cellular,Retirees,79681.00,3.00
720153258,53,Female,1,Graduate,Married,TX,91750,no,yes,no,unknown,Govt,34719.00,3.00
789586833,56,Female,4,High School,Single,AR,72023,no,yes,no,cellular,Govt,48849.00,3.00
708082083,24,Female,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326.00,3.00
708083283,62,Female,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225.00,2.00
708084558,32,Female,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235.00,2.00
708085458,38,Male,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683.00,1.00
708086958,48,Male,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279.00,1.00
708095133,33,Female,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254.00,3.00
708098133,34,Female,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975.00,2.00
708099183,34,Female,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982.00,2.00
708100533,48,Male,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668.00,2.00
708103608,53,Female,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196.00,1.00
708104658,31,Female,0,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,33625.00,2.00
708108333,34,Female,4,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,14975.00,3.00
708112008,51,Female,2,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,14975.00,2.00
708113208,36,Male,1,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,59416.00,3.00
708117933,49,Female,4,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,28122.00,1.00
708119658,53,Female,2,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,29021.00,1.00
708121908,49,Female,1,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,20632.00,3.00
708123033,47,Female,5,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,172101.00,2.00
708125733,43,Female,4,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,57168.00,2.00
708128733,47,Male,3,Graduate,Married,NY,91750,no,no,no,cellular,Govt,89954.00,2.00
708129933,34,Female,3,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,53762.00,1.00
708132783,37,Female,5,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,45476.00,3.00
708134283,63,Male,0,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,14975.00,2.00
708136908,55,Male,2,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,72878.00,2.00
708139833,38,Female,1,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,25667.00,3.00
708145908,40,Male,3,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,47224.00,1.00
708147108,55,Female,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341.00,2.00
708148158,33,Male,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644.00,3.00
708151008,54,Female,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423.00,2.00
708152358,46,Male,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014.00,2.00
708153558,44,Male,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186.00,3.00
708154833,40,Female,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835.00,2.00
708155733,44,Female,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345.00,2.00
708158133,51,Female,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215.00,2.00
708160008,60,Male,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581.00,3.00
708161133,49,Female,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555.00,3.00
708162558,43,Female,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381.00,2.00
708163758,54,Male,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809.00,1.00
708170508,32,Female,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975.00,1.00
708171858,52,Female,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586.00,1.00
708173433,43,Female,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367.00,3.00
708174708,49,Female,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355.00,1.00
708176208,49,Female,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428.00,2.00
708177333,42,Female,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865.00,2.00
708178608,48,Female,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304.00,1.00
708185208,47,Female,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100.00,2.00
708186933,47,Female,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295.00,1.00
708190158,47,Female,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103.00,3.00
708193008,53,Female,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975.00,2.00
708195633,47,Female,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517.00,3.00
708197358,42,Male,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887.00,1.00
708204033,53,Male,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233.00,1.00
708205083,54,Male,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516.00,1.00
708207783,48,Male,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959.00,1.00
708208758,42,Female,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377.00,2.00
